parameter_index,simulation_index,split
1128,4,train
2344,2,train
2082,2,train
2519,3,train
1820,2,train
1999,4,train
1603,4,train
1737,4,train
1341,4,train
1899,2,train
2336,3,train
2033,2,train
2508,2,train
2112,2,train
2549,3,train
2945,3,train
1850,2,train
1767,4,train
2845,1,train
2628,3,train
2325,2,train
2366,3,train
2500,3,train
3058,1,train
2796,1,train
2713,3,train
2317,3,train
3271,1,train
277,2,train
3009,1,train
3484,1,train
3088,1,train
2826,1,train
3442,4,train
2347,3,train
2784,4,train
3301,1,train
307,2,train
348,3,train
744,3,train
2643,1,train
45,2,train
482,3,train
3259,4,train
2560,3,train
2694,3,train
778,1,train
3514,1,train
3555,2,train
957,3,train
3689,2,train
2856,1,train
299,3,train
2990,1,train
3076,4,train
2773,3,train
991,1,train
595,1,train
3902,2,train
378,3,train
3506,2,train
75,2,train
3289,4,train
3027,4,train
2765,4,train
1070,1,train
808,1,train
546,1,train
1028,4,train
3323,2,train
725,3,train
766,4,train
3502,4,train
463,3,train
3240,4,train
2844,4,train
2978,4,train
1283,1,train
625,1,train
1241,4,train
1375,4,train
3274,2,train
3191,4,train
1496,1,train
972,1,train
576,1,train
1058,4,train
1454,4,train
3790,3,train
3487,2,train
1185,1,train
3962,2,train
3566,2,train
4003,3,train
1009,4,train
3700,2,train
3741,3,train
1264,1,train
1305,2,train
1701,2,train
1484,4,train
606,1,train
3820,3,train
826,4,train
3954,3,train
960,4,train
564,4,train
1914,2,train
1518,2,train
1652,2,train
1256,2,train
4033,3,train
1435,4,train
777,4,train
1731,2,train
1335,2,train
1032,1,train
1073,2,train
1252,4,train
3984,3,train
1944,2,train
2381,3,train
1723,3,train
1936,3,train
1103,2,train
2452,4,train
1712,2,train
1316,2,train
2149,3,train
1491,3,train
2311,1,train
2445,1,train
2228,3,train
1966,3,train
2524,1,train
2262,1,train
2699,2,train
2441,3,train
2000,1,train
2482,4,train
2616,4,train
1783,3,train
2737,1,train
2912,2,train
2609,1,train
2213,1,train
2695,4,train
3091,4,train
2991,2,train
2688,1,train
2292,1,train
3125,2,train
2426,1,train
2030,1,train
2250,4,train
427,1,train
2639,1,train
2243,1,train
2680,2,train
3121,4,train
2597,4,train
2201,4,train
244,1,train
423,3,train
3155,2,train
2456,1,train
2280,4,train
719,1,train
457,1,train
61,1,train
591,1,train
3368,2,train
3409,3,train
3106,2,train
2669,1,train
2710,2,train
2493,4,train
2627,4,train
3705,1,train
670,1,train
408,1,train
12,1,train
2923,2,train
2527,2,train
487,1,train
3701,3,train
621,1,train
662,2,train
3398,2,train
3573,3,train
3177,3,train
142,3,train
579,4,train
741,2,train
3869,1,train
438,1,train
479,2,train
875,2,train
4089,4,train
176,1,train
2953,2,train
3390,3,train
396,4,train
3948,1,train
1350,2,train
4082,1,train
3686,1,train
1088,2,train
692,2,train
3469,3,train
3865,3,train
389,1,train
3906,4,train
3207,3,train
347,4,train
3765,1,train
1167,2,train
1208,3,train
3899,1,train
509,2,train
3816,3,train
3420,3,train
3857,4,train
3554,3,train
560,4,train
3716,1,train
1555,3,train
3454,1,train
856,2,train
4070,4,train
3237,3,train
3633,3,train
3674,4,train
1851,1,train
1238,3,train
3929,1,train
935,2,train
539,2,train
3667,1,train
3450,3,train
1668,1,train
1847,3,train
3746,1,train
1148,2,train
1585,3,train
1626,4,train
3704,4,train
3838,4,train
1747,1,train
1881,1,train
1798,3,train
1839,4,train
1536,3,train
1140,3,train
3917,4,train
2094,1,train
2135,2,train
1832,1,train
1436,1,train
2052,4,train
1656,4,train
2045,1,train
1649,1,train
2131,4,train
2265,4,train
1432,3,train
2427,2,train
2124,1,train
2561,2,train
2344,4,train
1466,1,train
1600,1,train
1686,4,train
2082,4,train
1820,4,train
2640,2,train
2075,1,train
1679,1,train
2116,2,train
1899,4,train
2033,4,train
76,1,train
2853,2,train
2591,2,train
2195,2,train
1892,1,train
1933,2,train
2112,4,train
1850,4,train
2845,3,train
2105,1,train
2146,2,train
2542,2,train
2325,4,train
1884,2,train
147,2,train
2621,2,train
3058,3,train
2359,2,train
1963,2,train
2796,3,train
2097,2,train
57,1,train
98,2,train
3271,3,train
277,4,train
2572,2,train
2176,2,train
3009,3,train
3567,1,train
177,2,train
3305,1,train
3088,3,train
2826,3,train
3384,1,train
390,2,train
87,1,train
128,2,train
2860,1,train
3301,3,train
307,4,train
2602,2,train
2643,3,train
3080,4,train
45,4,train
3342,4,train
341,2,train
778,3,train
3555,4,train
3689,4,train
2856,3,train
2990,3,train
3152,1,train
991,3,train
595,3,train
3372,4,train
3506,4,train
3110,4,train
75,4,train
1070,3,train
674,3,train
371,2,train
808,3,train
3499,1,train
546,3,train
3323,4,train
1500,1,train
1104,1,train
1283,3,train
842,1,train
3578,1,train
4015,2,train
625,3,train
1062,4,train
3753,2,train
363,3,train
3140,4,train
3274,4,train
1317,1,train
1055,1,train
3832,2,train
3966,2,train
3570,2,train
972,3,train
576,3,train
3487,4,train
1571,2,train
1354,4,train
3649,2,train
4045,2,train
1092,4,train
3566,4,train
1481,1,train
1085,1,train
3862,2,train
1701,4,train
823,1,train
1305,4,train
4037,3,train
606,3,train
3734,2,train
1560,1,train
902,1,train
1518,4,train
1122,4,train
3813,2,train
1256,4,train
2210,2,train
1814,2,train
1115,1,train
1552,2,train
1731,4,train
1335,4,train
4026,2,train
4067,3,train
1032,3,train
1073,4,train
3805,3,train
2027,2,train
1369,2,train
2240,2,train
1541,1,train
1978,2,train
2019,3,train
1716,2,train
1103,4,train
1795,2,train
1533,2,train
1316,4,train
2528,1,train
2311,3,train
2008,2,train
1612,2,train
2049,3,train
2445,3,train
1787,3,train
2607,1,train
3137,1,train
2741,1,train
2524,3,train
2262,3,train
2699,4,train
1959,2,train
2000,3,train
2954,1,train
2737,3,train
2778,4,train
2912,4,train
2213,3,train
1817,3,train
3033,1,train
3167,1,train
3208,2,train
2509,1,train
2991,4,train
2688,3,train
2292,3,train
3125,4,train
2426,3,train
2030,3,train
2984,1,train
3025,2,train
3421,2,train
427,3,train
2722,1,train
2808,4,train
2546,4,train
2243,3,train
2680,4,train
3634,2,train
2801,1,train
3238,2,train
244,3,train
2976,2,train
3155,4,train
2456,3,train
540,1,train
719,3,train
3451,2,train
3055,2,train
457,3,train
61,3,train
3189,2,train
2576,4,train
3106,4,train
2710,4,train
753,1,train
3664,2,train
3268,2,train
3705,3,train
670,3,train
2965,1,train
3006,2,train
408,3,train
12,3,train
2923,4,train
2527,4,train
966,1,train
570,1,train
3481,2,train
487,3,train
528,4,train
3219,2,train
662,4,train
2957,2,train
783,1,train
917,1,train
958,2,train
655,1,train
259,1,train
741,4,train
3036,2,train
438,3,train
479,4,train
875,4,train
3473,3,train
176,3,train
2953,4,train
3869,3,train
3948,3,train
4082,3,train
558,4,train
3686,3,train
1088,4,train
692,4,train
3383,2,train
1250,2,train
3982,1,train
551,1,train
988,2,train
3765,3,train
1167,4,train
3462,2,train
3503,3,train
3899,3,train
509,4,train
3241,3,train
764,1,train
805,2,train
1201,2,train
939,2,train
3716,3,train
3454,3,train
856,4,train
1676,2,train
1414,2,train
1018,2,train
1455,3,train
1851,3,train
1152,2,train
756,2,train
3750,1,train
3929,3,train
935,4,train
539,4,train
3667,3,train
1231,2,train
1668,3,train
1365,2,train
969,2,train
3746,3,train
3921,4,train
1747,3,train
1881,3,train
1485,3,train
1182,2,train
1223,3,train
2043,1,train
2177,1,train
1915,1,train
2094,3,train
2135,4,train
1832,3,train
1436,3,train
1994,1,train
1732,1,train
1515,3,train
1649,3,train
1253,3,train
2207,1,train
2341,1,train
1945,1,train
2427,4,train
2124,3,train
2561,4,train
1466,3,train
1903,4,train
1600,3,train
2420,1,train
2158,1,train
2640,4,train
1896,1,train
1982,4,train
1679,3,train
2116,4,train
76,3,train
2371,1,train
2412,2,train
2853,4,train
2109,1,train
2195,4,train
2591,4,train
1892,3,train
1933,4,train
110,1,train
2887,2,train
2491,2,train
2188,1,train
1792,1,train
2625,2,train
2542,4,train
2146,4,train
1884,4,train
189,1,train
323,1,train
2704,2,train
147,4,train
2401,1,train
2442,2,train
2879,3,train
2621,4,train
2180,2,train
2359,4,train
1963,4,train
2097,4,train
2917,2,train
98,4,train
2393,2,train
2572,4,train
2176,4,train
3388,1,train
353,1,train
394,2,train
790,2,train
3567,3,train
177,4,train
2909,3,train
3305,3,train
3601,1,train
170,1,train
607,2,train
3384,3,train
390,4,train
128,4,train
2819,2,train
2860,3,train
3680,1,train
686,2,train
820,2,train
861,3,train
3156,1,train
2939,3,train
341,4,train
2677,3,train
899,2,train
3631,1,train
4027,1,train
637,2,train
375,2,train
3152,3,train
3885,2,train
891,3,train
3582,1,train
588,2,train
192,2,train
371,4,train
1500,3,train
1104,3,train
3399,1,train
4015,4,train
405,2,train
842,3,train
3578,3,train
3753,4,train
3357,4,train
1400,1,train
1138,1,train
3874,1,train
3915,2,train
1317,3,train
921,3,train
3216,1,train
3612,1,train
618,2,train
1055,3,train
3832,4,train
4049,2,train
3966,4,train
3570,4,train
1351,1,train
1571,4,train
3825,1,train
3866,2,train
4045,4,train
3649,4,train
1826,1,train
1564,1,train
4079,2,train
1085,3,train
689,3,train
3862,4,train
823,3,train
3734,4,train
1777,1,train
1560,3,train
1119,1,train
3896,2,train
902,3,train
4030,2,train
3813,4,train
1856,1,train
1594,1,train
1198,1,train
2031,2,train
1332,1,train
1814,4,train
1115,3,train
1552,4,train
4026,4,train
2110,2,train
1807,1,train
1848,2,train
2244,2,train
1545,1,train
2027,4,train
1369,4,train
1362,1,train
1978,4,train
1716,4,train
2536,2,train
1878,2,train
1575,1,train
1795,4,train
1533,4,train
2528,3,train
2225,2,train
2008,4,train
1612,4,train
2824,1,train
2607,3,train
2304,2,train
2345,3,train
2741,3,train
1646,2,train
3037,1,train
2954,3,train
2255,2,train
3250,1,train
2854,1,train
3033,3,train
2592,1,train
3208,4,train
2375,3,train
2509,3,train
3463,1,train
3067,1,train
73,2,train
2805,1,train
2984,3,train
3025,4,train
3421,4,train
2722,3,train
3280,1,train
2884,1,train
327,3,train
2622,1,train
24,2,train
2801,3,train
3238,4,train
2976,4,train
3493,1,train
540,3,train
2835,1,train
2969,1,train
3055,4,train
3451,4,train
3189,4,train
836,1,train
970,1,train
574,1,train
753,3,train
357,3,train
2652,1,train
3485,2,train
95,3,train
2786,1,train
3268,4,train
3006,4,train
1183,1,train
966,3,train
570,3,train
2865,1,train
745,4,train
3481,4,train
3219,4,train
2823,4,train
2957,4,train
1262,1,train
866,1,train
604,1,train
3777,2,train
783,3,train
3515,2,train
3911,2,train
958,4,train
125,3,train
655,3,train
259,3,train
3036,4,train
1475,1,train
1079,1,train
3990,2,train
555,1,train
3332,2,train
3728,2,train
3466,2,train
3070,2,train
