parameter_index,simulation_index,split
1128,4,train
2344,2,train
2478,2,train
1820,2,train
1999,4,train
1603,4,train
2295,2,train
1899,2,train
2033,2,train
1637,2,train
2508,2,train
2112,2,train
2945,3,train
2246,2,train
1850,2,train
2029,4,train
1767,4,train
2845,1,train
2325,2,train
2063,2,train
3058,1,train
64,2,train
3271,1,train
277,2,train
3009,1,train
3484,1,train
3088,1,train
3222,1,train
2826,1,train
3005,3,train
3046,4,train
2347,3,train
2784,4,train
2481,3,train
3301,1,train
307,2,train
348,3,train
744,3,train
2643,1,train
45,2,train
482,3,train
3039,1,train
3259,4,train
3655,4,train
2694,3,train
778,1,train
3514,1,train
3555,2,train
957,3,train
2856,1,train
299,3,train
2990,1,train
3076,4,train
2773,3,train
857,1,train
991,1,train
3768,2,train
3902,2,train
3506,2,train
512,3,train
3289,4,train
3027,4,train
2765,4,train
1070,1,train
3981,2,train
3585,2,train
1028,4,train
3282,1,train
766,4,train
3061,2,train
67,3,train
2844,4,train
3240,4,train
2978,4,train
625,1,train
1241,4,train
1375,4,train
979,4,train
3274,2,train
3670,2,train
676,3,train
1496,1,train
1275,2,train
1454,4,train
576,1,train
3353,2,train
3749,2,train
3790,3,train
796,4,train
3487,2,train
1051,1,train
1488,2,train
1185,1,train
3962,2,train
3566,2,train
4003,3,train
1009,4,train
706,3,train
1567,2,train
1701,2,train
1305,2,train
1484,4,train
606,1,train
1043,2,train
3820,3,train
3954,3,train
564,4,train
1914,2,train
1652,2,train
1256,2,train
4033,3,train
1435,4,train
3771,3,train
777,4,train
1731,2,train
1772,3,train
1032,1,train
1073,2,train
1944,2,train
1723,3,train
4018,1,train
1420,2,train
1203,4,train
2198,3,train
1802,3,train
1936,3,train
1103,2,train
2494,1,train
2015,3,train
2452,4,train
1712,2,train
1316,2,train
2149,3,train
1491,3,train
2311,1,train
2665,4,train
1966,3,train
2262,1,train
2699,2,train
2441,3,train
2878,4,train
2179,3,train
2616,4,train
2737,1,train
2912,2,train
2079,1,train
2609,1,train
2213,1,train
2695,4,train
3091,4,train
2829,4,train
2688,1,train
2292,1,train
131,3,train
2426,1,train
2030,1,train
2512,4,train
2646,4,train
2250,4,train
293,1,train
2639,1,train
2243,1,train
2680,2,train
3121,4,train
2201,4,train
244,1,train
3417,2,train
2759,2,train
202,4,train
2456,1,train
2893,2,train
2676,4,train
2280,4,train
719,1,train
457,1,train
61,1,train
591,1,train
3409,3,train
811,4,train
415,4,train
2710,2,train
2669,1,train
2493,4,train
3705,1,train
670,1,train
711,2,train
3488,3,train
12,1,train
232,4,train
621,1,train
662,2,train
3398,2,train
2740,2,train
142,3,train
183,4,train
741,2,train
3869,1,train
438,1,train
479,2,train
3256,3,train
4089,4,train
176,1,train
658,4,train
2953,2,train
396,4,train
3948,1,train
1350,2,train
3686,1,train
1088,2,train
692,2,train
3469,3,train
3865,3,train
389,1,train
3906,4,train
213,4,train
3765,1,train
1167,2,train
1208,3,train
468,1,train
509,2,train
3682,3,train
643,2,train
3420,3,train
3816,3,train
3554,3,train
560,4,train
1421,3,train
3716,1,train
1118,2,train
722,2,train
1159,3,train
1555,3,train
856,2,train
3633,3,train
4070,4,train
3454,1,train
3237,3,train
3936,4,train
1851,1,train
1768,3,train
935,2,train
539,2,train
3667,1,train
3846,3,train
3450,3,train
1668,1,train
1847,3,train
1451,3,train
3746,1,train
1189,3,train
1626,4,train
3704,4,train
3838,4,train
2143,1,train
1747,1,train
1881,1,train
1798,3,train
1839,4,train
3917,4,train
4051,4,train
2094,1,train
2135,2,train
1832,1,train
1436,1,train
1353,3,train
2045,1,train
2131,4,train
2265,4,train
1432,3,train
1869,4,train
2124,1,train
2561,2,train
1862,1,train
1466,1,train
2344,4,train
1820,4,train
2640,2,train
2378,2,train
2075,1,train
1679,1,train
2116,2,train
1813,1,train
1899,4,train
2295,4,train
2033,4,train
1637,4,train
2853,2,train
2591,2,train
2195,2,train
1892,1,train
2112,4,train
1850,4,train
27,1,train
2408,2,train
2845,3,train
2105,1,train
2146,2,train
2542,2,train
2325,4,train
1884,2,train
2063,4,train
106,1,train
147,2,train
2621,2,train
3058,3,train
64,4,train
2359,2,train
2097,2,train
3092,1,train
57,1,train
98,2,train
3271,3,train
277,4,train
2572,2,train
2176,2,train
2613,3,train
3009,3,train
3567,1,train
3305,1,train
311,2,train
3088,3,train
3222,3,train
2826,3,train
3780,1,train
3384,1,train
786,2,train
3518,1,train
87,1,train
128,2,train
2860,1,train
3301,3,train
307,4,train
2602,2,train
2643,3,train
3039,3,train
45,4,train
3080,4,train
3342,4,train
644,3,train
3335,1,train
341,2,train
778,3,train
3073,1,train
3555,4,train
2856,3,train
2990,3,train
1074,1,train
3851,2,train
857,3,train
3548,1,train
991,3,train
158,2,train
3372,4,train
3768,4,train
292,2,train
3506,4,train
4064,2,train
1070,3,train
3802,2,train
371,2,train
3103,1,train
3499,1,train
3585,4,train
3282,3,train
3981,4,train
3061,4,train
3881,2,train
842,1,train
3619,2,train
4015,2,train
625,3,train
3753,2,train
363,3,train
3140,4,train
3670,4,train
3274,4,train
1055,1,train
3832,2,train
1275,4,train
3570,2,train
576,3,train
3353,4,train
3749,4,train
3487,4,train
1571,2,train
872,1,train
4045,2,train
1051,3,train
1488,4,train
3783,2,train
393,3,train
3566,4,train
1481,1,train
1085,1,train
1567,4,train
3862,2,train
1701,4,train
823,1,train
1305,4,train
4037,3,train
606,3,train
1043,4,train
1560,1,train
1298,1,train
902,1,train
1735,2,train
1122,4,train
3813,2,train
1256,4,train
1814,2,train
1115,1,train
1249,1,train
1731,4,train
4026,2,train
4067,3,train
1032,3,train
1073,4,train
3805,3,train
2027,2,train
1765,2,train
1369,2,train
4018,3,train
1420,4,train
2240,2,train
1978,2,train
2019,3,train
1716,2,train
1103,4,train
2494,3,train
1399,2,train
1533,2,train
1316,4,train
2924,1,train
2528,1,train
2311,3,train
2049,3,train
1787,3,train
2607,1,train
3137,1,train
2741,1,train
2262,3,train
2699,4,train
2820,1,train
222,2,train
2954,1,train
1,3,train
2296,1,train
2737,3,train
2778,4,train
2912,4,train
2079,3,train
2213,3,train
3033,1,train
3208,2,train
2509,1,train
2688,3,train
2292,3,train
2426,3,train
2030,3,train
293,3,train
3025,2,train
3421,2,train
2722,1,train
2546,4,train
2243,3,train
2680,4,train
2801,1,train
3238,2,train
244,3,train
2539,1,train
2976,2,train
3417,4,train
2759,4,train
2456,3,train
2893,4,train
540,1,train
719,3,train
3451,2,train
3055,2,train
457,3,train
61,3,train
498,4,train
3189,2,train
2576,4,train
2710,4,train
753,1,train
491,1,train
3664,2,train
3705,3,train
670,3,train
711,4,train
2965,1,train
3006,2,train
12,3,train
2744,2,train
966,1,train
308,1,train
3481,2,train
662,4,train
2957,2,train
2740,4,train
917,1,train
521,1,train
958,2,train
655,1,train
741,4,train
3432,2,train
3473,3,train
438,3,train
479,4,train
3869,3,train
176,3,train
2953,4,train
338,1,train
3948,3,train
558,4,train
3686,3,train
1088,4,train
692,4,train
3383,2,train
1250,2,train
3982,1,train
947,1,train
551,1,train
988,2,train
3765,3,train
1167,4,train
3503,3,train
468,3,train
509,4,train
3241,3,train
643,4,train
1201,2,train
805,2,train
3716,3,train
722,4,train
3454,3,train
856,4,train
1676,2,train
1414,2,train
1018,2,train
1851,3,train
3750,1,train
1152,2,train
935,4,train
539,4,train
3667,3,train
1231,2,train
1668,3,train
3963,1,train
969,2,train
3746,3,train
3921,4,train
2143,3,train
1747,3,train
4042,1,train
1881,3,train
1182,2,train
1223,3,train
1915,1,train
2094,3,train
2135,4,train
1395,2,train
1436,3,train
1832,3,train
2390,1,train
2128,1,train
1732,1,train
2214,4,train
1253,3,train
2341,1,train
1945,1,train
2124,3,train
2561,4,train
1862,3,train
1466,3,train
1903,4,train
2420,1,train
2158,1,train
1762,1,train
2640,4,train
2378,4,train
1679,3,train
2116,4,train
2371,1,train
2412,2,train
2853,4,train
2591,4,train
2195,4,train
1892,3,train
110,1,train
2887,2,train
2491,2,train
2188,1,train
1792,1,train
2408,4,train
2542,4,train
2146,4,train
1884,4,train
189,1,train
323,1,train
106,3,train
147,4,train
2401,1,train
2442,2,train
2879,3,train
2621,4,train
2180,2,train
2359,4,train
2097,4,train
2917,2,train
2655,2,train
3092,3,train
98,4,train
2572,4,train
2176,4,train
3388,1,train
353,1,train
394,2,train
3567,3,train
3305,3,train
2909,3,train
311,4,train
2606,2,train
473,2,train
3601,1,train
170,1,train
607,2,train
3384,3,train
3780,3,train
3518,3,train
128,4,train
2819,2,train
2860,3,train
3814,1,train
820,2,train
861,3,train
3156,1,train
3335,3,train
341,4,train
3073,3,train
3893,1,train
4027,1,train
3631,1,train
1074,3,train
3851,4,train
771,2,train
3548,3,train
158,4,train
292,4,train
3448,1,train
3885,2,train
891,3,train
3186,1,train
3582,1,train
588,2,train
3802,4,train
4064,4,train
371,4,train
3103,3,train
667,2,train
3399,1,train
3795,1,train
3881,4,train
4015,4,train
842,3,train
3619,4,train
3753,4,train
3357,4,train
1138,1,train
3874,1,train
3915,2,train
921,3,train
3612,1,train
618,2,train
1055,3,train
3832,4,train
3570,4,train
1351,1,train
1571,4,train
3429,1,train
3866,2,train
872,3,train
4045,4,train
3783,4,train
1564,1,train
1085,3,train
689,3,train
3862,4,train
823,3,train
2039,1,train
1777,1,train
1381,1,train
1560,3,train
1119,1,train
3896,2,train
1298,3,train
902,3,train
1735,4,train
4030,2,train
3813,4,train
1856,1,train
2031,2,train
1198,1,train
1814,4,train
1418,4,train
1115,3,train
1249,3,train
4026,4,train
2110,2,train
1807,1,train
1411,1,train
1545,1,train
2027,4,train
3926,2,train
1765,4,train
1369,4,train
1107,4,train
1927,2,train
1624,1,train
1978,4,train
1716,4,train
1878,2,train
2315,3,train
1575,1,train
1616,2,train
1399,4,train
1533,4,train
2924,3,train
2528,3,train
2225,2,train
1829,2,train
2607,3,train
2304,2,train
2345,3,train
2741,3,train
2042,2,train
1646,2,train
3037,1,train
43,2,train
2820,3,train
2954,3,train
2255,2,train
2296,3,train
3250,1,train
2854,1,train
3033,3,train
2592,1,train
3208,4,train
2375,3,train
2509,3,train
73,2,train
2805,1,train
3201,1,train
3421,4,train
3025,4,train
2722,3,train
286,2,train
327,3,train
2622,1,train
24,2,train
2801,3,train
3238,4,train
2539,3,train
2976,4,train
3493,1,train
3097,1,train
3534,2,train
540,3,train
2835,1,train
237,2,train
2969,1,train
2573,1,train
3055,4,train
3451,4,train
3189,4,train
836,1,train
970,1,train
574,1,train
753,3,train
357,3,train
54,2,train
2786,1,train
95,3,train
491,3,train
3006,4,train
2744,4,train
1049,1,train
1183,1,train
787,1,train
3960,2,train
966,3,train
3302,2,train
308,3,train
2999,1,train
3481,4,train
2823,4,train
